candidate_id,exact_e0,numerator,denominator,origins,covered_intervals,covered_tasksets,covered_tasks,covered_relations,covered_variants,covered_U_0_4_intervals,covered_U_0_4_tasksets,covered_U_0_6_intervals,covered_U_0_6_tasksets,representation_cost,minimum_distance_to_selected,selected,selection_rank
E0C00125,31613623254000001801/2000000000000000000000,31613623254000001801,2000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,33,4,7,2,4,26,2,6,1,42,,False,
E0C00126,7913812477500000001/500000000000000000000,7913812477500000001,500000000000000000000,INTERVAL_MIDPOINT,34,4,7,2,4,26,2,7,1,40,,False,
E0C00127,6332249663400000511/400000000000000000000,6332249663400000511,400000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,34,4,7,2,4,26,2,7,1,40,,False,
E0C00128,1978828021500000161/125000000000000000000,1978828021500000161,125000000000000000000,INTERVAL_MIDPOINT,34,4,7,2,4,26,2,7,1,40,,False,
E0C00129,31708873395000001529/2000000000000000000000,31708873395000001529,2000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,33,4,7,2,4,26,2,6,1,42,,False,
E0C00130,15886124490000000217/1000000000000000000000,15886124490000000217,1000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,34,4,7,2,4,27,2,6,1,42,,False,
E0C00131,7967156049000000093/500000000000000000000,7967156049000000093,500000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,32,3,5,2,4,25,1,6,1,40,,False,
E0C00132,16015499094000000409/1000000000000000000000,16015499094000000409,1000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,33,3,5,2,4,26,1,6,1,42,,False,
E0C00133,321509995320000003/20000000000000000000,321509995320000003,20000000000000000000,INTERVAL_MIDPOINT,34,3,5,2,4,27,1,6,1,38,,False,
E0C00134,32210999874000000851/2000000000000000000000,32210999874000000851,2000000000000000000000,INTERVAL_MIDPOINT,34,3,5,2,4,27,1,6,1,42,,False,
E0C00135,32215873119000000841/2000000000000000000000,32215873119000000841,2000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,34,3,5,2,4,27,1,6,1,42,,False,
E0C00136,16160061882000000313/1000000000000000000000,16160061882000000313,1000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,35,3,5,2,4,28,1,6,1,42,,False,
E0C00137,32408623458000000703/2000000000000000000000,32408623458000000703,2000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,34,3,5,2,4,27,1,6,1,42,,False,
E0C00138,6483299794800000109/400000000000000000000,6483299794800000109,400000000000000000000,INTERVAL_MIDPOINT,34,3,5,2,4,27,1,6,1,40,,False,
E0C00139,32432249604000000253/2000000000000000000000,32432249604000000253,2000000000000000000000,INTERVAL_MIDPOINT,34,3,5,2,4,27,1,6,1,42,,False,
E0C00140,32504998593000000643/2000000000000000000000,32504998593000000643,2000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,35,3,5,2,4,28,1,6,1,42,,False,
E0C00141,4074749824125000211/250000000000000000000,4074749824125000211,250000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,36,3,5,2,4,29,1,6,1,40,,False,
E0C00142,1307144918640000077/80000000000000000000,1307144918640000077,80000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,37,3,5,2,4,29,1,7,1,39,,False,
E0C00143,817049955000000067/50000000000000000000,817049955000000067,50000000000000000000,INTERVAL_MIDPOINT,38,3,5,2,4,30,1,7,1,38,,False,
