phase,structure,cell_id,U_norm,taskset_id,relation,task_id,priority_rank,complete_candidate,local_candidate,improvement,status,envelope_common_count,envelope_strict_count,envelope_equal_count,envelope_violation_count,local_only_closure_count,q_plus_h_equals_w_count
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t03-afe4faa3fe20,FIXED_CW_CARRY_IN,9,9,51,51,0,EQUAL,51,9,42,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t03-afe4faa3fe20,RECURSIVE_CARRY_IN,0,0,16,16,0,EQUAL,0,0,0,0,0,0
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t03-afe4faa3fe20,RECURSIVE_CARRY_IN,1,1,7,7,0,EQUAL,0,0,0,0,0,0
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t03-afe4faa3fe20,RECURSIVE_CARRY_IN,2,2,6,6,0,EQUAL,0,0,0,0,0,0
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t03-afe4faa3fe20,RECURSIVE_CARRY_IN,3,3,37,37,0,EQUAL,0,0,0,0,0,0
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t03-afe4faa3fe20,RECURSIVE_CARRY_IN,4,4,15,15,0,EQUAL,0,0,0,0,0,0
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t03-afe4faa3fe20,RECURSIVE_CARRY_IN,5,5,40,40,0,EQUAL,0,0,0,0,0,0
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t03-afe4faa3fe20,RECURSIVE_CARRY_IN,6,6,32,32,0,EQUAL,0,0,0,0,0,0
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t03-afe4faa3fe20,RECURSIVE_CARRY_IN,7,7,62,62,0,EQUAL,0,0,0,0,0,0
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t03-afe4faa3fe20,RECURSIVE_CARRY_IN,8,8,45,45,0,EQUAL,0,0,0,0,0,0
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t03-afe4faa3fe20,RECURSIVE_CARRY_IN,9,9,51,51,0,EQUAL,0,0,0,0,0,0
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t04-935baf6ed992,DEADLINE_CARRY_IN,0,0,10,10,0,EQUAL,10,0,10,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t04-935baf6ed992,DEADLINE_CARRY_IN,1,1,1,1,0,EQUAL,1,0,1,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t04-935baf6ed992,DEADLINE_CARRY_IN,2,2,8,8,0,EQUAL,8,0,8,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t04-935baf6ed992,DEADLINE_CARRY_IN,3,3,21,21,0,EQUAL,21,0,21,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t04-935baf6ed992,DEADLINE_CARRY_IN,4,4,12,12,0,EQUAL,12,0,12,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t04-935baf6ed992,DEADLINE_CARRY_IN,5,5,66,66,0,EQUAL,66,45,21,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t04-935baf6ed992,DEADLINE_CARRY_IN,6,6,32,32,0,EQUAL,32,0,32,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t04-935baf6ed992,DEADLINE_CARRY_IN,7,7,75,75,0,EQUAL,75,51,24,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t04-935baf6ed992,DEADLINE_CARRY_IN,8,8,78,78,0,EQUAL,78,46,32,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t04-935baf6ed992,DEADLINE_CARRY_IN,9,9,113,113,0,EQUAL,113,91,22,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t04-935baf6ed992,FIXED_CW_CARRY_IN,0,0,10,10,0,EQUAL,10,0,10,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t04-935baf6ed992,FIXED_CW_CARRY_IN,1,1,1,1,0,EQUAL,1,0,1,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t04-935baf6ed992,FIXED_CW_CARRY_IN,2,2,8,8,0,EQUAL,8,0,8,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t04-935baf6ed992,FIXED_CW_CARRY_IN,3,3,21,21,0,EQUAL,21,0,21,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t04-935baf6ed992,FIXED_CW_CARRY_IN,4,4,11,11,0,EQUAL,11,0,11,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t04-935baf6ed992,FIXED_CW_CARRY_IN,5,5,57,57,0,EQUAL,57,45,12,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t04-935baf6ed992,FIXED_CW_CARRY_IN,6,6,17,17,0,EQUAL,17,0,17,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t04-935baf6ed992,FIXED_CW_CARRY_IN,7,7,56,56,0,EQUAL,56,48,8,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t04-935baf6ed992,FIXED_CW_CARRY_IN,8,8,42,42,0,EQUAL,42,0,42,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t04-935baf6ed992,FIXED_CW_CARRY_IN,9,9,62,62,0,EQUAL,62,51,11,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t04-935baf6ed992,RECURSIVE_CARRY_IN,0,0,10,10,0,EQUAL,0,0,0,0,0,0
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t04-935baf6ed992,RECURSIVE_CARRY_IN,1,1,1,1,0,EQUAL,0,0,0,0,0,0
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t04-935baf6ed992,RECURSIVE_CARRY_IN,2,2,8,8,0,EQUAL,0,0,0,0,0,0
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t04-935baf6ed992,RECURSIVE_CARRY_IN,3,3,21,21,0,EQUAL,0,0,0,0,0,0
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t04-935baf6ed992,RECURSIVE_CARRY_IN,4,4,11,11,0,EQUAL,0,0,0,0,0,0
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t04-935baf6ed992,RECURSIVE_CARRY_IN,5,5,57,57,0,EQUAL,0,0,0,0,0,0
